id,place_name,average_rating,granular_category,lat,lng
7961,McDonald's,2,restaurant,24.889567,46.693315
7962,Coffee,4.2,restaurant,24.888566,46.696778
7963,McDonald's,3.7,restaurant,24.889092,46.696897
7964,Kodo,3.6,restaurant,24.8890856,46.6970655
7965,Capses restaurantNarcissus branch,4.2,restaurant,24.888583,46.6972141
7966,Creme Patte Cherry Patty,4.7,restaurant,24.875135,46.6637786
7967,McDonald's,4.5,restaurant,24.8693704,46.6696638
7968,color,4.3,restaurant,24.914236,46.6890024
7969,Pizza and Pasta,3.3,restaurant,24.8686363,46.6676295
7970,Sentem bar,5,restaurant,24.8732248,46.7103856
7971,"Shadaq, your bridge",4.6,restaurant,24.8722188,46.7111766
7972,"Albukhari Rasurant, Mohamed Awad Al -Bukhari Restaurant",3.8,restaurant,24.8768264,46.6574721
7973,Tahdak Al -Nakheel Restaurant - Beans and Tams,3.8,restaurant,24.8708076,46.6616004
7974,Bukhari Restaurant,3.4,restaurant,24.8756527,46.6580704
7975,Sadar is sufficient,4.6,cafe,24.6715642,46.5617449
7976,Subway,3.5,restaurant,24.8545711,46.7183428
